Title: The RESOLVE Survey Atomic Gas Census and Environmental Influences 
       on Galaxy Gas Reservoirs 
Authors: Stark D.V., Kannappan S.J., Eckert K.D., Florez J., Hall K.R., 
    Watson L.C., Hoversten E.A., Burchett J.N., Guynn D.T., Baker A.D., 
    Moffett A.J., Berlind A.A., Norris M.A., Haynes M.P., Giovanelli R., 
    Leroy A.K., Pisano D.J., Wei L.H., Gonzalez R.E., Calderon V.F.
Table: RESOLVE Environment Metrics
================================================================================
Byte-by-byte Description of file: stark2016_tbl2.txt
--------------------------------------------------------------------------------
   Bytes Format Units            Label        Explanations
--------------------------------------------------------------------------------
   1-  6 A6     ---              Name         RESOLVE designation (1)
   8- 12 I5     ---              groupid-s    Group dark matter halo ID, stellar
                                               mass-limited sample (2)
  14- 18 F5.2   [solMass]        groupmass-s  Group dark matter halo mass,
                                               stellar mass-limited sample 
  20- 24 I5     ---              groupid-b    Group dark matter halo ID,
                                               baryonic mass-limited sample (2)
  26- 30 F5.2   [solMass]        groupmass-b  Group dark matter halo mass,
                                               baryonic mass-limited sample 
  32- 36 F5.2   [solMass]/Mpc2   dens-s       Large-scale structure density,
                                               stellar mass-limited sample
                                               groups, uncorrected for
                                               edge-effects
  38- 42 F5.2   [solMass]/Mpc2   dens-corr-s  Large-scale structure density,
                                               stellar mass-limited sample
                                               groups, corrected for
                                               edge-effects
  44- 48 F5.2   [solMass]/Mpc2   dens-b       Large-scale structure density,
                                               baryonic mass-limited sample
                                               groups, uncorrected for
                                               edge-effects
  50- 54 F5.2   [solMass]/Mpc2   dens-corr-b  Large-scale structure density,
                                               baryonic mass-limited sample
                                               groups, corrected for
                                               edge-effects
  56- 60 F5.2   ---              dist-s       Projected distance to nearest
                                               M_h>10^12 halo, stellar
                                               mass-limited sample groups (3)
  62- 62 I1     ---            f_dist-s       Reliability Flag for dist-s (4)
  64- 68 F5.2   ---              dist-b       Projected distance to nearest
                                               M_h>10^12 halo, baryonic
                                               mass-limited sample groups (3)
  70- 70 I1     ---            f_dist-b       Reliability Flag for dist-b (4)
--------------------------------------------------------------------------------
Note (1): General Notes: Environment metrics are only provided for galaxies 
    lying within our survey definitions (stellar mass > 10^(8.9) Msun or 
    baryonic mass > 10^(9.3) Msun. This table includes galaxies that fall 
    within the buffer regions (see S2.5) but still lie above the stellar or 
    baryonic mass completeness limits.
Note (2): By definition, all members of a group have the same values
    for each of the environment metrics.
Note (3): Distances to nearest halo with mass > 10^12 Msun and heliocentric 
    velocity separation <500 km/s are given relative to the virial radius of the 
    nearest Mh>10^12 group, e.g., if a Mh=10^11 Msun halo lies at the
    virial radius of a Mh=10^12.5 Msun halo, dist_s = 1
Note (4): Flag=1 indicates that the corresponding distance may be unreliable 
    due to proximity to survey boundary.
Note (5): Values only calculated for Mh<10^12 Msun groups
--------------------------------------------------------------------------------
rf0002 10002 11.37 20002 11.18 10.96 11.21 10.95 11.19  6.76 1  6.91 1
rf0003 10003 11.14     0  0.00 10.79 11.00  0.00  0.00  5.60 1  0.00 0
rf0004 10229 11.41 20243 11.44  9.89 10.32 10.46 10.88 12.86 1 13.61 1
rf0005 10004 12.18 20003 12.09 11.20 11.30 10.89 11.06  0.00 0  0.00 0
rf0006 10005 11.86     0  0.00 11.17 11.40  0.00  0.00  5.18 1  0.00 0
rf0007 10005 11.86 20004 11.78 11.17 11.40 11.10 11.31  5.18 1  5.70 1
rf0008 10005 11.86 20004 11.78 11.17 11.40 11.10 11.31  5.18 1  5.70 1
rf0011 10006 11.30 20005 11.29 11.82 11.82 11.81 11.81  2.32 0  2.89 0
rf0013 10007 11.47 20006 11.31 12.37 12.37 12.19 12.19  0.85 0  1.04 0
rf0015 10008 12.50 20007 11.74 12.60 12.61 12.41 12.41  0.00 0  0.03 0
rf0016 10008 12.50 20008 12.20 12.60 12.61 12.37 12.37  0.00 0  0.00 0
rf0018 10008 12.50     0  0.00 12.60 12.61  0.00  0.00  0.00 0  0.00 0
rf0021 10009 11.73 20009 11.61 12.10 12.35 11.92 12.17  1.23 1  1.58 1
rf0022 10010 11.21     0  0.00 12.28 12.28  0.00  0.00  1.20 0  0.00 0
rf0024 10011 11.25 20010 11.22 11.21 11.35 11.39 11.55  3.59 1  4.55 1
rf0025 10012 11.25 20011 11.28 11.06 11.27 11.03 11.24  4.22 1  5.34 1
rf0029 10014 11.36 20013 11.36 11.04 11.10 11.28 11.30  7.97 1  8.97 1
rf0030 10014 11.36 20013 11.36 11.04 11.10 11.28 11.30  7.97 1  8.97 1
rf0031 10015 11.79 20014 11.75 10.68 10.80 11.21 11.22  9.25 1  9.73 1
rf0032 10016 11.14 20015 11.14 11.05 11.22 11.00 11.19  7.37 1  7.70 1
rf0033     0  0.00 20016 11.25  0.00  0.00 10.80 11.01  0.00 0 13.10 1
rf0037 10017 12.88 20018 12.86 11.56 11.81 11.57 11.81  0.00 0  0.00 0
rf0040 10018 11.33 20019 11.16 11.35 11.35 11.26 11.26  3.15 0 10.38 1
rf0042     0  0.00 20020 11.68  0.00  0.00 11.08 11.09  0.00 0  4.23 1
rf0043 10019 11.73 20020 11.68 11.10 11.12 11.08 11.09  3.89 1  4.23 1
rf0044 10020 11.24 20021 11.11 12.33 12.34 12.24 12.26  0.99 0  1.15 0
rf0047 10021 11.62     0  0.00 12.25 12.45  0.00  0.00  0.79 1  0.00 0
rf0048 10022 11.14 20022 11.36 11.64 11.64 12.05 12.05  1.82 0  2.10 0
rf0049     0  0.00 20022 11.36  0.00  0.00 12.05 12.05  0.00 0  2.10 0
rf0050 10021 11.62 20023 11.50 12.25 12.45 12.19 12.42  0.79 1  0.80 1
rf0052 10023 12.52     0  0.00 12.64 12.64  0.00  0.00  0.00 0  0.00 0
rf0053     0  0.00 20285 11.07  0.00  0.00 11.90 11.90  0.00 0  3.00 0
rf0054 10023 12.52 20024 12.47 12.64 12.64 12.59 12.62  0.00 0  0.00 0
rf0055 10023 12.52 20024 12.47 12.64 12.64 12.59 12.62  0.00 0  0.00 0
rf0056 10023 12.52 20024 12.47 12.64 12.64 12.59 12.62  0.00 0  0.00 0
rf0057 10025 11.53 20026 11.61 12.24 12.28 12.18 12.23  1.17 0  1.21 0
rf0058 10026 11.15 20027 11.12 12.15 12.35 12.13 12.33  1.71 1  1.68 1
rf0059     0  0.00 20288 11.05  0.00  0.00 11.16 11.17  0.00 0  4.33 1
rf0060 10028 11.11 20029 11.09 11.47 11.70 11.46 11.69  4.60 1  4.66 1
rf0062 10029 11.85 20030 11.95 11.37 11.63 11.37 11.63  5.08 1  5.22 1
rf0063 10030 11.51 20031 11.60 10.86 11.09 10.94 11.17  4.84 1  4.90 1
rf0065 10031 11.16 20032 11.11 10.81 11.01 10.88 11.09  5.23 1  5.29 1
rf0071 10032 11.71 20033 11.81 10.92 11.04 11.05 11.15  3.15 1  3.29 1
rf0072     0  0.00 20034 11.62  0.00  0.00 10.89 11.11  0.00 0  3.60 1
rf0073     0  0.00 20034 11.62  0.00  0.00 10.89 11.11  0.00 0  3.60 1
rf0074 10033 11.36 20034 11.62 10.86 11.06 10.89 11.11  3.25 1  3.60 1
rf0075 10034 11.24 20035 11.21 14.03 14.03 11.54 11.56  1.42 1  1.47 1
rf0078 10035 11.29 20036 11.08 11.58 11.58 11.54 11.54  1.11 0  1.16 0
rf0080 10036 11.83 20037 11.72 12.94 13.14 13.01 13.20  0.59 1  0.60 1
rf0081 10037 11.33 20038 11.12 13.42 13.42 13.36 13.36  0.54 0  0.55 0
rf0082 10038 11.62 20039 11.50 11.96 11.96 11.98 11.98  0.74 0  0.73 0
rf0084 10038 11.62 20039 11.50 11.96 11.96 11.98 11.98  0.74 0  0.73 0
rf0085 10038 11.62     0  0.00 11.96 11.96  0.00  0.00  0.74 0  0.00 0
rf0086 10038 11.62 20039 11.50 11.96 11.96 11.98 11.98  0.74 0  0.73 0
rf0087 10039 13.33 20040 13.27 13.18 13.24 13.33 13.35  0.00 0  0.00 0
rf0092 10039 13.33 20040 13.27 13.18 13.24 13.33 13.35  0.00 0  0.00 0
rf0093 10039 13.33 20040 13.27 13.18 13.24 13.33 13.35  0.00 0  0.00 0
rf0094 10039 13.33 20040 13.27 13.18 13.24 13.33 13.35  0.00 0  0.00 0
rf0095 10038 11.62     0  0.00 11.96 11.96  0.00  0.00  0.74 0  0.00 0
rf0096 10039 13.33 20040 13.27 13.18 13.24 13.33 13.35  0.00 0  0.00 0
rf0097 10039 13.33 20040 13.27 13.18 13.24 13.33 13.35  0.00 0  0.00 0
rf0098 10039 13.33 20040 13.27 13.18 13.24 13.33 13.35  0.00 0  0.00 0
rf0099     0  0.00 20041 11.22  0.00  0.00 13.33 13.33  0.00 0  0.53 0
rf0100 10039 13.33     0  0.00 13.18 13.24  0.00  0.00  0.00 0  0.00 0
rf0102     0  0.00 20042 11.18  0.00  0.00 12.98 12.98  0.00 0  0.91 0
rf0103 10040 11.18     0  0.00 12.31 12.31  0.00  0.00  0.95 0  0.00 0
rf0106 10041 11.15 20043 11.23 11.77 11.88 11.71 11.82  1.04 0  1.11 0
rf0109 10042 11.28 20044 11.29 11.85 11.85 11.84 11.84  1.45 0  1.54 0
