M_r   logMbary(logMsun) Re(kpc)
all units have assumed Ho=70 km/s
-21.805 10.834 4.485
-19.283 9.625 2.637
-17.695 9.437 3.682
-17.489 9.379 1.568
-17.500 8.985 1.222
-17.508 9.025 1.762
-17.428 8.981 2.342
-17.432 9.391 3.174
-17.378 8.915 2.130
-17.551 9.025 2.246
-17.892 9.517 5.024
-17.514 9.035 3.830
-17.580 9.521 2.743
-17.556 9.290 4.323
-17.507 9.474 3.035
-17.478 9.145 1.322
-17.516 9.449 1.418
-17.553 9.208 2.830
-17.705 9.133 4.487
-17.421 9.144 0.944
-17.415 8.855 2.290
-17.437 8.985 3.629
-17.460 9.401 2.367
-17.759 9.434 3.955
-17.889 9.639 3.674
-19.170 9.285 8.549
-17.374 9.219 1.046
-17.450 9.157 2.077
-17.430 9.195 1.299
-17.491 8.854 1.069
-17.760 9.373 3.200
-17.503 9.328 3.014
-17.733 8.795 3.621
-17.340 8.975 1.275
-17.530 9.233 1.171
-17.456 9.256 2.499
-17.378 9.108 1.028
-17.463 9.419 2.520
-17.701 9.465 3.574
-17.713 9.276 3.468
-18.071 9.267 4.825
-17.495 9.339 3.096
-17.813 9.132 4.807
-17.546 9.025 3.418
-17.334 8.905 2.827
-18.732 9.195 9.781
-17.812 9.486 5.798
-17.551 9.090 1.974
-17.509 9.249 3.008
-17.524 9.162 2.789
-17.615 9.495 3.464
-17.575 9.035 2.782
-17.547 8.825 2.793
-17.487 9.439 2.640
-17.547 9.292 2.957
-17.629 9.035 1.266
-18.011 9.545 4.323
-17.576 9.503 2.809
-18.084 8.835 4.658
-17.602 9.135 2.021
-17.529 9.524 3.225
-17.469 9.298 2.028
-17.373 8.935 0.736
-17.548 8.915 0.827
-17.406 9.095 1.271
-17.643 9.325 1.083
-17.397 9.437 4.103
-17.397 9.526 1.688
-17.498 9.230 2.798
-17.373 8.995 2.017
-17.641 9.065 1.213
-17.348 9.357 2.889
-17.539 9.439 2.630
-17.382 9.065 1.506
-17.457 8.975 1.971
-17.355 8.915 2.337
-17.355 8.865 1.095
-17.442 8.915 1.011
-17.426 8.885 1.834
-17.602 9.025 3.289
-17.483 8.965 1.748
-17.614 9.075 2.942
-17.503 8.935 0.790
-17.654 8.895 1.871
-17.408 8.855 1.283
-18.157 9.356 3.106
-17.529 8.905 1.454
-17.522 9.440 1.475
-17.349 8.845 1.768
-17.475 8.955 2.029
-17.977 9.494 4.625
-17.425 8.895 1.159
-17.730 8.925 2.227
-17.542 8.957 1.337
-17.354 8.885 2.185
-17.544 9.045 1.940
-17.425 9.125 0.765
-17.469 8.895 0.765
-17.400 8.805 0.845
-17.442 8.845 1.413
-17.332 8.765 0.780
-18.808 9.602 2.522
-18.113 9.975 3.394
-17.439 9.532 2.781
-17.839 9.335 1.639
-17.334 9.452 3.114
-17.608 8.835 2.620
-17.418 8.935 3.320
-17.470 9.075 2.491
-17.394 8.955 1.126
-17.608 9.511 4.675
-17.337 8.885 1.143
-17.999 9.591 4.237
-17.524 8.895 3.980
-17.637 8.945 2.901
-17.538 8.955 3.664
-19.201 9.695 4.197
-17.725 9.590 4.246
-17.425 9.014 2.524
-17.415 8.905 1.299
-17.457 9.257 3.388
-17.475 8.945 3.810
-17.813 9.015 3.072
-18.104 9.227 1.825
-17.383 9.402 3.671
-17.436 8.815 2.491
-17.525 9.549 3.121
-17.576 8.865 2.694
-17.709 8.815 2.986
-17.762 9.408 3.920
-17.698 9.005 3.238
-17.470 9.155 0.823
-18.949 9.305 8.252
-17.519 9.025 1.680
-17.441 9.162 0.932
-17.377 9.320 3.517
-17.463 8.935 0.984
-17.453 9.341 3.013
-17.476 9.546 1.135
-17.634 9.035 3.810
-17.393 9.308 1.542
-17.379 9.352 2.809
-17.923 9.215 2.153
-17.579 9.340 3.327
-17.416 9.647 3.637
-17.786 9.015 1.509
-17.418 8.970 1.538
-17.359 8.875 1.650
-17.507 8.885 2.979
-17.539 9.364 2.046
-17.505 9.035 3.069
-17.497 9.117 1.158
-17.475 8.975 1.406
-17.675 9.192 1.990
-17.513 8.905 1.009
-17.506 9.476 3.296
-17.832 9.336 5.013
-17.405 9.055 1.457
-17.379 9.059 2.291
-17.486 8.845 0.836
-17.740 9.317 2.925
-17.461 8.985 1.519
-17.511 9.095 1.087
-17.403 8.945 1.641
-17.637 9.544 2.236
-17.478 9.670 3.105
-17.519 8.935 1.733
-22.703 8.853 3.206
-17.991 9.493 3.795
-17.436 8.765 2.610
-18.871 9.495 4.071
-17.484 9.015 2.765
-17.405 8.845 1.149
-17.458 9.089 2.346
-17.555 8.975 3.164
-17.452 9.400 3.366
-17.398 8.795 1.757
-17.440 9.246 2.607
-17.512 8.855 1.025
-17.535 9.145 2.117
-17.796 9.397 3.319
-17.874 9.531 4.167
-17.563 9.427 3.978
-17.340 9.231 2.879
-17.569 9.376 4.020
-17.553 8.865 2.075
-17.418 9.158 2.949
-17.616 9.075 1.901
-17.340 8.785 2.260
-17.393 9.295 1.205
-17.428 9.353 3.592
-17.491 9.005 1.578
-18.081 9.025 1.555
-17.442 9.380 1.919
-17.330 8.855 2.453
-17.546 8.915 3.371
-17.343 9.035 1.560
-17.733 8.915 1.847
-17.532 9.423 2.924
-17.409 9.220 1.934
-17.392 9.492 1.526
-17.485 8.995 2.857
-17.881 9.145 4.206
-17.402 9.522 3.367
-17.638 9.362 2.626
-17.435 8.815 1.372
-17.378 8.828 0.888
