Name	cz	groupcz	logstellarmass	RA	DEC	Tel	F21	e_F21	rms	limflag	confused	F21corr	eF21corr-rand	eF21corr-sys	deconf-mode	groupid-s	groupmass-s	groupid-b	groupmass-b	dens-s	dens-corr-s	dens-b	dens-corr-b	dist-s	f_dist-s	dist-b	f_dist-b
rs0002	6009.6	6023.14	9.39	133.38629	4.78233	ALFALFA	2.47	0.09	2.18	0	0	0.0	0.0	0.0	0	15475	11.3	25773	11.39	9.56	9.63	9.55	9.61	29.53	1	33.37	1
rs0003	6922.5	6922.12	9.01	133.68635	4.30196	ALFALFA	1.0	0.08	2.59	0	0	0.0	0.0	0.0	0	15066	11.16	25312	11.21	10.46	10.46	10.43	10.43	18.8	1	20.2	1
rs0005	6991.5	7065.64	9.89	134.60913	3.3942099999999997	ALFALFA	1.53	0.08	2.35	0	0	0.0	0.0	0.0	0	13712	11.53	23980	11.49	10.8	10.8	10.8	10.8	16.88	1	17.91	1
rs1314	7157.4	7065.64	8.95	134.61978	3.3694300000000004	ALFALFA	0.67	0.08	3.16	0	0	0.0	0.0	0.0	0	13712	11.53	23980	11.49	10.8	10.8	10.8	10.8	16.88	1	17.91	1
rs0010	5633.4	5633.39	8.89	135.21256	1.16123	ALFALFA	1.12	0.11	4.5	0	0	0.0	0.0	0.0	0	0	0.0	22524	11.13	0.0	0.0	10.77	10.77	0.0	0	30.65	1
rs0011	6947.3	6950.21	8.91	135.26529	3.6045199999999995	ALFALFA	0.68	0.08	3.04	0	0	0.0	0.0	0.0	0	15871	11.09	23988	11.11	10.69	10.7	11.3	11.3	15.34	1	16.48	1
rs0012	5351.8	5361.4	9.23	135.43797	0.52181	ALFALFA	1.87	0.11	2.96	0	0	0.0	0.0	0.0	0	12431	11.18	22618	11.23	10.95	10.95	11.32	11.32	9.58	1	10.0	1
rs0013	5621.4	5612.29	9.11	135.4779	1.17205	ALFALFA	1.88	0.16	4.56	0	0	0.0	0.0	0.0	0	13632	11.17	23887	11.25	10.72	10.72	10.84	10.84	29.84	1	30.03	1
rs0014	6993.3	6980.95	10.01	135.58831	3.6157800000000004	AO	0.08	0.0	0.55	1	0	0.0	0.0	0.0	0	14877	11.64	25154	11.53	10.87	10.87	10.97	10.97	14.75	1	15.85	1
rs0015	7041.7	7036.69	8.57	135.78653	3.7221300000000004	ALFALFA	0.66	0.08	3.03	0	0	0.0	0.0	0.0	0	0	0.0	25313	11.08	0.0	0.0	10.8	10.8	0.0	0	15.59	1
rs0016	5457.6	5470.96	8.39	136.40762	0.00343	AO	1.36	0.06	1.56	0	0	0.0	0.0	0.0	0	0	0.0	23840	11.14	0.0	0.0	11.55	11.55	0.0	0	8.2	1
rs0017	6995.2	6979.48	9.55	136.76981	3.14608	GBT	0.77	0.06	0.97	0	0	0.0	0.0	0.0	0	13702	11.39	23971	11.31	10.28	10.28	10.53	10.53	12.13	1	13.03	1
rs0018	5453.5	5448.12	10.49	137.17425	0.48477	GBT	0.34	0.0	2.79	1	0	0.0	0.0	0.0	0	10944	11.96	21067	11.87	11.01	11.02	11.22	11.22	6.09	1	6.36	1
rs0019	4726.2	4738.59	9.31	137.22651000000002	1.4326	ALFALFA	1.33	0.12	3.3	0	0	0.0	0.0	0.0	0	12445	11.22	22631	11.16	10.37	10.38	10.5	10.52	5.24	1	5.45	1
rs0022	4858.4	4843.48	9.79	139.17565	0.20567	ALFALFA	1.89	0.12	3.47	0	0	0.0	0.0	0.0	0	11290	11.45	21426	11.39	11.67	11.67	11.62	11.62	2.06	0	2.19	0
rs0023	4918.1	4923.01	8.93	139.56846000000002	0.38513000000000003	AO	0.14	0.01	1.12	0	0	0.0	0.0	0.0	0	10121	11.11	0	0.0	11.76	11.76	0.0	0.0	1.31	0	0.0	0
rs0025	5137.3	5105.83	9.01	139.77598	0.67765	ALFALFA	0.79	0.09	2.97	0	0	0.0	0.0	0.0	0	13617	11.18	23869	11.08	12.56	12.56	12.39	12.39	0.66	0	0.73	0
rs0027	4779.9	4765.63	9.13	139.92551	1.32592	AO	0.03	0.0	0.28	1	0	0.0	0.0	0.0	0	12338	11.58	0	0.0	12.61	12.61	0.0	0.0	0.78	0	0.0	0
rs0029	5114.4	5087.89	10.31	139.9799	0.9452299999999999	ALFALFA	2.1	0.1	2.61	0	0	0.0	0.0	0.0	0	10123	12.88	20159	12.83	12.62	12.62	12.6	12.6	0.0	0	0.0	0
rs0030	5212.5	5087.89	9.23	139.99509	0.96096	ALFALFA	1.76	0.08	2.61	0	1	1.8	0.08	0.3	1	10123	12.88	20159	12.83	12.62	12.62	12.6	12.6	0.0	0	0.0	0
rs0031	4996.3	5087.89	9.99	139.99875	0.9310299999999999	ALFALFA	0.92	0.07	2.75	0	1	1.53	0.11	0.11	1	10123	12.88	20159	12.83	12.62	12.62	12.6	12.6	0.0	0	0.0	0
rs0032	4927.8	5087.89	11.01	140.00888	1.0384200000000001	ALFALFA	0.95	0.0	4.58	1	0	0.0	0.0	0.0	0	10123	12.88	20159	12.83	12.62	12.62	12.6	12.6	0.0	0	0.0	0
rs0033	5068.8	5048.03	9.95	140.06497	1.28892	AO	0.21	0.0	1.65	1	0	0.0	0.0	0.0	0	12338	11.58	23894	11.41	12.61	12.61	12.51	12.51	0.78	0	0.72	0
rs0034	5114.9	5087.89	8.61	140.09161	0.8231799999999999	ALFALFA	1.82	0.09	2.65	0	0	0.0	0.0	0.0	0	0	0.0	20159	12.83	0.0	0.0	12.6	12.6	0.0	0	0.0	0
rs0038	4976.5	5087.89	9.11	140.13863	0.72114	GBT	0.19	0.03	1.11	0	0	0.0	0.0	0.0	0	10123	12.88	0	0.0	12.62	12.62	0.0	0.0	0.0	0	0.0	0
rs0042	6944.1	6943.68	9.05	140.19227	0.60493	ALFALFA	0.99	0.09	2.86	0	0	0.0	0.0	0.0	0	12335	11.16	22522	11.21	10.61	10.61	10.61	10.62	5.73	1	6.15	1
rs0044	4725.5	4763.39	9.87	140.29288	1.47274	AO	0.07	0.01	0.34	0	0	0.0	0.0	0.0	0	13638	11.53	23901	11.36	12.72	12.72	12.7	12.7	1.16	0	1.14	0
rs0045	4892.5	4861.26	9.01	140.3588	3.91891	AO	0.54	0.1	2.14	0	0	0.0	0.0	0.0	0	15069	11.11	0	0.0	10.97	10.97	0.0	0.0	5.74	0	0.0	0
rs1315	7179.5	7183.66	9.17	140.43008	2.6909400000000003	ALFALFA	0.67	0.07	2.53	0	0	0.0	0.0	0.0	0	13675	11.24	23947	11.19	11.1	11.1	11.08	11.08	3.65	0	3.78	0
rs0048	5117.1	5117.6	9.39	140.58934	4.061380000000001	ALFALFA	1.23	0.06	2.29	0	0	0.0	0.0	0.0	0	11468	11.28	21617	11.22	10.95	10.95	11.01	11.01	6.38	0	6.59	0
rs0049	5054.4	5045.26	10.39	140.73716000000002	1.4340600000000001	ALFALFA	0.43	0.0	3.06	1	0	0.0	0.0	0.0	0	11482	11.89	21635	11.8	11.97	11.97	11.97	11.97	1.74	0	1.78	0
rs0050	4996.7	4921.96	9.71	140.78336000000002	2.48598	ALFALFA	1.32	0.08	2.54	0	0	0.0	0.0	0.0	0	11500	11.52	21654	11.65	11.53	11.53	11.54	11.54	1.85	0	1.88	0
rs0051	5017.0	4963.57	9.11	140.80501999999998	2.0602	ALFALFA	1.13	0.1	2.72	0	0	0.0	0.0	0.0	0	11546	12.05	21704	12.03	11.88	11.88	11.84	11.84	0.0	0	0.0	0
rs0052	4844.2	4921.96	9.41	140.80568	2.60143	ALFALFA	3.57	0.11	2.73	0	0	0.0	0.0	0.0	0	11500	11.52	21654	11.65	11.53	11.53	11.54	11.54	1.85	0	1.88	0
rs0053	4940.3	4963.57	10.57	140.9021	2.13659	ALFALFA	3.5	0.09	2.55	0	0	0.0	0.0	0.0	0	11546	12.05	21704	12.03	11.88	11.88	11.84	11.84	0.0	0	0.0	0
rs0054	4876.8	4879.1	9.11	140.94272	2.75277	ALFALFA	2.28	0.07	2.51	0	0	0.0	0.0	0.0	0	11500	11.52	21654	11.65	11.53	11.53	11.54	11.54	1.85	0	1.88	0
rs0055	7015.2	7048.06	9.67	140.94981	2.11299	ALFALFA	3.29	0.09	2.62	0	0	0.0	0.0	0.0	0	11560	11.5	21718	11.69	12.01	12.01	11.45	11.45	1.37	0	1.49	0
rs0056	7060.1	7048.06	9.19	141.02698	2.08265	ALFALFA	0.95	0.08	2.86	0	0	0.0	0.0	0.0	0	11560	11.5	21718	11.69	12.01	12.01	11.45	11.45	1.37	0	1.49	0
rs1317	7118.1	7091.35	9.07	141.37468	2.07836	ALFALFA	0.28	0.0	2.79	1	0	0.0	0.0	0.0	0	11684	12.69	0	0.0	12.23	12.23	0.0	0.0	0.0	0	0.0	0
rs0059	7035.2	7091.35	8.63	141.395	2.34192	ALFALFA	0.64	0.07	2.62	0	0	0.0	0.0	0.0	0	0	0.0	21846	12.66	0.0	0.0	11.61	11.61	0.0	0	0.0	0
rs1318	7107.8	7091.35	10.39	141.4457	2.22919	ALFALFA	0.48	0.0	3.01	1	0	0.0	0.0	0.0	0	11684	12.69	21846	12.66	12.23	12.23	11.61	11.61	0.0	0	0.0	0
rs1319	7102.2	7091.35	10.91	141.44762	2.08969	ALFALFA	1.51	0.15	3.03	0	0	0.0	0.0	0.0	0	11684	12.69	21846	12.66	12.23	12.23	11.61	11.61	0.0	0	0.0	0
rs0063	4900.5	4893.05	9.93	141.68633	1.15441	ALFALFA	2.03	0.16	3.83	0	0	0.0	0.0	0.0	0	12474	11.53	22662	11.47	11.43	11.43	11.37	11.37	3.18	0	3.35	0
rs0064	5143.8	5157.22	9.87	141.87005	3.9296599999999997	ALFALFA	4.21	0.1	2.49	0	0	0.0	0.0	0.0	0	11735	11.53	21899	11.57	11.44	11.44	11.55	11.55	4.14	0	4.06	0
rs0070	5695.5	5696.08	8.41	142.3566	0.35552	ALFALFA	0.85	0.11	3.39	0	0	0.0	0.0	0.0	0	0	0.0	26206	11.01	0.0	0.0	9.86	10.11	0.0	0	16.3	1
